"","Day","Time","TrafficControl","Road","Light","Weather","Weight","Count"
"397","Weekday","Midday","Control","Wet","Dawn/Dusk","Rain/Snow",5,13
"398","Weekend","Midday","Control","Wet","Dawn/Dusk","Rain/Snow",2,3
"399","Weekday","Evening","Control","Wet","Dawn/Dusk","Rain/Snow",5,114
"400","Weekend","Evening","Control","Wet","Dawn/Dusk","Rain/Snow",2,35
"401","Weekday","Night","Unknown","Wet","Dawn/Dusk","Rain/Snow",5,5
"402","Weekend","Night","Unknown","Wet","Dawn/Dusk","Rain/Snow",2,1
"403","Weekday","Morning","Unknown","Wet","Dawn/Dusk","Rain/Snow",5,0
"404","Weekend","Morning","Unknown","Wet","Dawn/Dusk","Rain/Snow",2,0
"405","Weekday","Midday","Unknown","Wet","Dawn/Dusk","Rain/Snow",5,0
"406","Weekend","Midday","Unknown","Wet","Dawn/Dusk","Rain/Snow",2,0
"407","Weekday","Evening","Unknown","Wet","Dawn/Dusk","Rain/Snow",5,5
"408","Weekend","Evening","Unknown","Wet","Dawn/Dusk","Rain/Snow",2,4
"409","Weekday","Night","No Control","Other","Dawn/Dusk","Rain/Snow",5,0
"410","Weekend","Night","No Control","Other","Dawn/Dusk","Rain/Snow",2,0
"411","Weekday","Morning","No Control","Other","Dawn/Dusk","Rain/Snow",5,0
"412","Weekend","Morning","No Control","Other","Dawn/Dusk","Rain/Snow",2,1
"413","Weekday","Midday","No Control","Other","Dawn/Dusk","Rain/Snow",5,1
"414","Weekend","Midday","No Control","Other","Dawn/Dusk","Rain/Snow",2,0
"415","Weekday","Evening","No Control","Other","Dawn/Dusk","Rain/Snow",5,4
"416","Weekend","Evening","No Control","Other","Dawn/Dusk","Rain/Snow",2,0
"417","Weekday","Night","Control","Other","Dawn/Dusk","Rain/Snow",5,0
"418","Weekend","Night","Control","Other","Dawn/Dusk","Rain/Snow",2,0
"419","Weekday","Morning","Control","Other","Dawn/Dusk","Rain/Snow",5,1
"420","Weekend","Morning","Control","Other","Dawn/Dusk","Rain/Snow",2,0
"421","Weekday","Midday","Control","Other","Dawn/Dusk","Rain/Snow",5,0
"422","Weekend","Midday","Control","Other","Dawn/Dusk","Rain/Snow",2,0
"423","Weekday","Evening","Control","Other","Dawn/Dusk","Rain/Snow",5,2
"424","Weekend","Evening","Control","Other","Dawn/Dusk","Rain/Snow",2,1
"425","Weekday","Night","Unknown","Other","Dawn/Dusk","Rain/Snow",5,0
"426","Weekend","Night","Unknown","Other","Dawn/Dusk","Rain/Snow",2,0
"427","Weekday","Morning","Unknown","Other","Dawn/Dusk","Rain/Snow",5,0
"428","Weekend","Morning","Unknown","Other","Dawn/Dusk","Rain/Snow",2,0
"429","Weekday","Midday","Unknown","Other","Dawn/Dusk","Rain/Snow",5,0
"430","Weekend","Midday","Unknown","Other","Dawn/Dusk","Rain/Snow",2,0
"431","Weekday","Evening","Unknown","Other","Dawn/Dusk","Rain/Snow",5,0
"432","Weekend","Evening","Unknown","Other","Dawn/Dusk","Rain/Snow",2,0
"433","Weekday","Night","No Control","Dry","Dark","Rain/Snow",5,37
"434","Weekend","Night","No Control","Dry","Dark","Rain/Snow",2,23
"435","Weekday","Morning","No Control","Dry","Dark","Rain/Snow",5,4
"436","Weekend","Morning","No Control","Dry","Dark","Rain/Snow",2,4
"437","Weekday","Midday","No Control","Dry","Dark","Rain/Snow",5,4
"438","Weekend","Midday","No Control","Dry","Dark","Rain/Snow",2,1
"439","Weekday","Evening","No Control","Dry","Dark","Rain/Snow",5,28
"440","Weekend","Evening","No Control","Dry","Dark","Rain/Snow",2,10
"441","Weekday","Night","Control","Dry","Dark","Rain/Snow",5,31
"442","Weekend","Night","Control","Dry","Dark","Rain/Snow",2,13
"443","Weekday","Morning","Control","Dry","Dark","Rain/Snow",5,5
"444","Weekend","Morning","Control","Dry","Dark","Rain/Snow",2,1
"445","Weekday","Midday","Control","Dry","Dark","Rain/Snow",5,0
"446","Weekend","Midday","Control","Dry","Dark","Rain/Snow",2,0
"447","Weekday","Evening","Control","Dry","Dark","Rain/Snow",5,28
"448","Weekend","Evening","Control","Dry","Dark","Rain/Snow",2,4
"449","Weekday","Night","Unknown","Dry","Dark","Rain/Snow",5,2
"450","Weekend","Night","Unknown","Dry","Dark","Rain/Snow",2,1
"451","Weekday","Morning","Unknown","Dry","Dark","Rain/Snow",5,0
"452","Weekend","Morning","Unknown","Dry","Dark","Rain/Snow",2,0
"453","Weekday","Midday","Unknown","Dry","Dark","Rain/Snow",5,0
"454","Weekend","Midday","Unknown","Dry","Dark","Rain/Snow",2,1
"455","Weekday","Evening","Unknown","Dry","Dark","Rain/Snow",5,0
"456","Weekend","Evening","Unknown","Dry","Dark","Rain/Snow",2,0
"457","Weekday","Night","No Control","Wet","Dark","Rain/Snow",5,722
"458","Weekend","Night","No Control","Wet","Dark","Rain/Snow",2,486
"459","Weekday","Morning","No Control","Wet","Dark","Rain/Snow",5,78
"460","Weekend","Morning","No Control","Wet","Dark","Rain/Snow",2,40
"461","Weekday","Midday","No Control","Wet","Dark","Rain/Snow",5,45
"462","Weekend","Midday","No Control","Wet","Dark","Rain/Snow",2,17
"463","Weekday","Evening","No Control","Wet","Dark","Rain/Snow",5,591
"464","Weekend","Evening","No Control","Wet","Dark","Rain/Snow",2,206
"465","Weekday","Night","Control","Wet","Dark","Rain/Snow",5,843
"466","Weekend","Night","Control","Wet","Dark","Rain/Snow",2,463
"467","Weekday","Morning","Control","Wet","Dark","Rain/Snow",5,79
"468","Weekend","Morning","Control","Wet","Dark","Rain/Snow",2,17
"469","Weekday","Midday","Control","Wet","Dark","Rain/Snow",5,28
"470","Weekend","Midday","Control","Wet","Dark","Rain/Snow",2,10
"471","Weekday","Evening","Control","Wet","Dark","Rain/Snow",5,611
"472","Weekend","Evening","Control","Wet","Dark","Rain/Snow",2,215
"473","Weekday","Night","Unknown","Wet","Dark","Rain/Snow",5,34
"474","Weekend","Night","Unknown","Wet","Dark","Rain/Snow",2,22
"475","Weekday","Morning","Unknown","Wet","Dark","Rain/Snow",5,2
"476","Weekend","Morning","Unknown","Wet","Dark","Rain/Snow",2,1
"477","Weekday","Midday","Unknown","Wet","Dark","Rain/Snow",5,0
"478","Weekend","Midday","Unknown","Wet","Dark","Rain/Snow",2,0
"479","Weekday","Evening","Unknown","Wet","Dark","Rain/Snow",5,26
"480","Weekend","Evening","Unknown","Wet","Dark","Rain/Snow",2,11
"481","Weekday","Night","No Control","Other","Dark","Rain/Snow",5,12
"482","Weekend","Night","No Control","Other","Dark","Rain/Snow",2,4
"483","Weekday","Morning","No Control","Other","Dark","Rain/Snow",5,0
"484","Weekend","Morning","No Control","Other","Dark","Rain/Snow",2,1
"485","Weekday","Midday","No Control","Other","Dark","Rain/Snow",5,2
"486","Weekend","Midday","No Control","Other","Dark","Rain/Snow",2,0
"487","Weekday","Evening","No Control","Other","Dark","Rain/Snow",5,7
"488","Weekend","Evening","No Control","Other","Dark","Rain/Snow",2,4
"489","Weekday","Night","Control","Other","Dark","Rain/Snow",5,13
"490","Weekend","Night","Control","Other","Dark","Rain/Snow",2,7
"491","Weekday","Morning","Control","Other","Dark","Rain/Snow",5,1
"492","Weekend","Morning","Control","Other","Dark","Rain/Snow",2,0
"493","Weekday","Midday","Control","Other","Dark","Rain/Snow",5,1
"494","Weekend","Midday","Control","Other","Dark","Rain/Snow",2,0
"495","Weekday","Evening","Control","Other","Dark","Rain/Snow",5,7
"496","Weekend","Evening","Control","Other","Dark","Rain/Snow",2,6
"497","Weekday","Night","Unknown","Other","Dark","Rain/Snow",5,2
"498","Weekend","Night","Unknown","Other","Dark","Rain/Snow",2,1
"499","Weekday","Morning","Unknown","Other","Dark","Rain/Snow",5,0
"500","Weekend","Morning","Unknown","Other","Dark","Rain/Snow",2,0
"501","Weekday","Midday","Unknown","Other","Dark","Rain/Snow",5,0
"502","Weekend","Midday","Unknown","Other","Dark","Rain/Snow",2,0
"503","Weekday","Evening","Unknown","Other","Dark","Rain/Snow",5,3
"504","Weekend","Evening","Unknown","Other","Dark","Rain/Snow",2,0
"505","Weekday","Night","No Control","Dry","Unknown","Rain/Snow",5,1
"506","Weekend","Night","No Control","Dry","Unknown","Rain/Snow",2,0
"507","Weekday","Morning","No Control","Dry","Unknown","Rain/Snow",5,2
"508","Weekend","Morning","No Control","Dry","Unknown","Rain/Snow",2,2
"509","Weekday","Midday","No Control","Dry","Unknown","Rain/Snow",5,0
"510","Weekend","Midday","No Control","Dry","Unknown","Rain/Snow",2,0
"511","Weekday","Evening","No Control","Dry","Unknown","Rain/Snow",5,1
"512","Weekend","Evening","No Control","Dry","Unknown","Rain/Snow",2,0
"513","Weekday","Night","Control","Dry","Unknown","Rain/Snow",5,0
"514","Weekend","Night","Control","Dry","Unknown","Rain/Snow",2,0
"515","Weekday","Morning","Control","Dry","Unknown","Rain/Snow",5,0
"516","Weekend","Morning","Control","Dry","Unknown","Rain/Snow",2,0
"517","Weekday","Midday","Control","Dry","Unknown","Rain/Snow",5,2
"518","Weekend","Midday","Control","Dry","Unknown","Rain/Snow",2,0
"519","Weekday","Evening","Control","Dry","Unknown","Rain/Snow",5,0
"520","Weekend","Evening","Control","Dry","Unknown","Rain/Snow",2,0
"521","Weekday","Night","Unknown","Dry","Unknown","Rain/Snow",5,1
"522","Weekend","Night","Unknown","Dry","Unknown","Rain/Snow",2,0
"523","Weekday","Morning","Unknown","Dry","Unknown","Rain/Snow",5,0
"524","Weekend","Morning","Unknown","Dry","Unknown","Rain/Snow",2,0
"525","Weekday","Midday","Unknown","Dry","Unknown","Rain/Snow",5,0
"526","Weekend","Midday","Unknown","Dry","Unknown","Rain/Snow",2,0
"527","Weekday","Evening","Unknown","Dry","Unknown","Rain/Snow",5,0
"528","Weekend","Evening","Unknown","Dry","Unknown","Rain/Snow",2,1
"529","Weekday","Night","No Control","Wet","Unknown","Rain/Snow",5,21
"530","Weekend","Night","No Control","Wet","Unknown","Rain/Snow",2,14
"531","Weekday","Morning","No Control","Wet","Unknown","Rain/Snow",5,43
"532","Weekend","Morning","No Control","Wet","Unknown","Rain/Snow",2,27
"533","Weekday","Midday","No Control","Wet","Unknown","Rain/Snow",5,23
"534","Weekend","Midday","No Control","Wet","Unknown","Rain/Snow",2,9
"535","Weekday","Evening","No Control","Wet","Unknown","Rain/Snow",5,30
"536","Weekend","Evening","No Control","Wet","Unknown","Rain/Snow",2,14
"537","Weekday","Night","Control","Wet","Unknown","Rain/Snow",5,6
"538","Weekend","Night","Control","Wet","Unknown","Rain/Snow",2,1
"539","Weekday","Morning","Control","Wet","Unknown","Rain/Snow",5,10
"540","Weekend","Morning","Control","Wet","Unknown","Rain/Snow",2,1
"541","Weekday","Midday","Control","Wet","Unknown","Rain/Snow",5,7
"542","Weekend","Midday","Control","Wet","Unknown","Rain/Snow",2,2
"543","Weekday","Evening","Control","Wet","Unknown","Rain/Snow",5,9
"544","Weekend","Evening","Control","Wet","Unknown","Rain/Snow",2,4
"545","Weekday","Night","Unknown","Wet","Unknown","Rain/Snow",5,3
"546","Weekend","Night","Unknown","Wet","Unknown","Rain/Snow",2,3
"547","Weekday","Morning","Unknown","Wet","Unknown","Rain/Snow",5,2
"548","Weekend","Morning","Unknown","Wet","Unknown","Rain/Snow",2,2
"549","Weekday","Midday","Unknown","Wet","Unknown","Rain/Snow",5,5
"550","Weekend","Midday","Unknown","Wet","Unknown","Rain/Snow",2,2
"551","Weekday","Evening","Unknown","Wet","Unknown","Rain/Snow",5,3
"552","Weekend","Evening","Unknown","Wet","Unknown","Rain/Snow",2,0
"553","Weekday","Night","No Control","Other","Unknown","Rain/Snow",5,2
"554","Weekend","Night","No Control","Other","Unknown","Rain/Snow",2,0
"555","Weekday","Morning","No Control","Other","Unknown","Rain/Snow",5,1
"556","Weekend","Morning","No Control","Other","Unknown","Rain/Snow",2,2
"557","Weekday","Midday","No Control","Other","Unknown","Rain/Snow",5,1
"558","Weekend","Midday","No Control","Other","Unknown","Rain/Snow",2,2
"559","Weekday","Evening","No Control","Other","Unknown","Rain/Snow",5,3
"560","Weekend","Evening","No Control","Other","Unknown","Rain/Snow",2,0
"561","Weekday","Night","Control","Other","Unknown","Rain/Snow",5,0
"562","Weekend","Night","Control","Other","Unknown","Rain/Snow",2,0
"563","Weekday","Morning","Control","Other","Unknown","Rain/Snow",5,0
"564","Weekend","Morning","Control","Other","Unknown","Rain/Snow",2,0
"565","Weekday","Midday","Control","Other","Unknown","Rain/Snow",5,2
"566","Weekend","Midday","Control","Other","Unknown","Rain/Snow",2,1
"567","Weekday","Evening","Control","Other","Unknown","Rain/Snow",5,0
"568","Weekend","Evening","Control","Other","Unknown","Rain/Snow",2,0
"569","Weekday","Night","Unknown","Other","Unknown","Rain/Snow",5,1
"570","Weekend","Night","Unknown","Other","Unknown","Rain/Snow",2,3
"571","Weekday","Morning","Unknown","Other","Unknown","Rain/Snow",5,1
"572","Weekend","Morning","Unknown","Other","Unknown","Rain/Snow",2,0
"573","Weekday","Midday","Unknown","Other","Unknown","Rain/Snow",5,0
"574","Weekend","Midday","Unknown","Other","Unknown","Rain/Snow",2,0
"575","Weekday","Evening","Unknown","Other","Unknown","Rain/Snow",5,1
"576","Weekend","Evening","Unknown","Other","Unknown","Rain/Snow",2,0
"577","Weekday","Night","No Control","Dry","Daylight","Poor Visibilty",5,1
"578","Weekend","Night","No Control","Dry","Daylight","Poor Visibilty",2,1
"579","Weekday","Morning","No Control","Dry","Daylight","Poor Visibilty",5,115
"580","Weekend","Morning","No Control","Dry","Daylight","Poor Visibilty",2,17
"581","Weekday","Midday","No Control","Dry","Daylight","Poor Visibilty",5,137
"582","Weekend","Midday","No Control","Dry","Daylight","Poor Visibilty",2,42
"583","Weekday","Evening","No Control","Dry","Daylight","Poor Visibilty",5,68
"584","Weekend","Evening","No Control","Dry","Daylight","Poor Visibilty",2,18
"585","Weekday","Night","Control","Dry","Daylight","Poor Visibilty",5,7
"586","Weekend","Night","Control","Dry","Daylight","Poor Visibilty",2,2
"587","Weekday","Morning","Control","Dry","Daylight","Poor Visibilty",5,117
"588","Weekend","Morning","Control","Dry","Daylight","Poor Visibilty",2,18
"589","Weekday","Midday","Control","Dry","Daylight","Poor Visibilty",5,139
"590","Weekend","Midday","Control","Dry","Daylight","Poor Visibilty",2,38
"591","Weekday","Evening","Control","Dry","Daylight","Poor Visibilty",5,59
"592","Weekend","Evening","Control","Dry","Daylight","Poor Visibilty",2,12
"593","Weekday","Night","Unknown","Dry","Daylight","Poor Visibilty",5,1
"594","Weekend","Night","Unknown","Dry","Daylight","Poor Visibilty",2,0
"595","Weekday","Morning","Unknown","Dry","Daylight","Poor Visibilty",5,4
"596","Weekend","Morning","Unknown","Dry","Daylight","Poor Visibilty",2,0
"597","Weekday","Midday","Unknown","Dry","Daylight","Poor Visibilty",5,6
"598","Weekend","Midday","Unknown","Dry","Daylight","Poor Visibilty",2,2
"599","Weekday","Evening","Unknown","Dry","Daylight","Poor Visibilty",5,3
"600","Weekend","Evening","Unknown","Dry","Daylight","Poor Visibilty",2,2
"601","Weekday","Night","No Control","Wet","Daylight","Poor Visibilty",5,1
"602","Weekend","Night","No Control","Wet","Daylight","Poor Visibilty",2,1
"603","Weekday","Morning","No Control","Wet","Daylight","Poor Visibilty",5,83
"604","Weekend","Morning","No Control","Wet","Daylight","Poor Visibilty",2,13
"605","Weekday","Midday","No Control","Wet","Daylight","Poor Visibilty",5,55
"606","Weekend","Midday","No Control","Wet","Daylight","Poor Visibilty",2,23
"607","Weekday","Evening","No Control","Wet","Daylight","Poor Visibilty",5,17
"608","Weekend","Evening","No Control","Wet","Daylight","Poor Visibilty",2,5
"609","Weekday","Night","Control","Wet","Daylight","Poor Visibilty",5,3
"610","Weekend","Night","Control","Wet","Daylight","Poor Visibilty",2,0
"611","Weekday","Morning","Control","Wet","Daylight","Poor Visibilty",5,58
"612","Weekend","Morning","Control","Wet","Daylight","Poor Visibilty",2,8
"613","Weekday","Midday","Control","Wet","Daylight","Poor Visibilty",5,50
"614","Weekend","Midday","Control","Wet","Daylight","Poor Visibilty",2,22
"615","Weekday","Evening","Control","Wet","Daylight","Poor Visibilty",5,19
"616","Weekend","Evening","Control","Wet","Daylight","Poor Visibilty",2,4
"617","Weekday","Night","Unknown","Wet","Daylight","Poor Visibilty",5,0
"618","Weekend","Night","Unknown","Wet","Daylight","Poor Visibilty",2,0
"619","Weekday","Morning","Unknown","Wet","Daylight","Poor Visibilty",5,2
"620","Weekend","Morning","Unknown","Wet","Daylight","Poor Visibilty",2,0
"621","Weekday","Midday","Unknown","Wet","Daylight","Poor Visibilty",5,2
"622","Weekend","Midday","Unknown","Wet","Daylight","Poor Visibilty",2,0
"623","Weekday","Evening","Unknown","Wet","Daylight","Poor Visibilty",5,1
"624","Weekend","Evening","Unknown","Wet","Daylight","Poor Visibilty",2,1
"625","Weekday","Night","No Control","Other","Daylight","Poor Visibilty",5,1
"626","Weekend","Night","No Control","Other","Daylight","Poor Visibilty",2,0
"627","Weekday","Morning","No Control","Other","Daylight","Poor Visibilty",5,12
"628","Weekend","Morning","No Control","Other","Daylight","Poor Visibilty",2,1
"629","Weekday","Midday","No Control","Other","Daylight","Poor Visibilty",5,19
"630","Weekend","Midday","No Control","Other","Daylight","Poor Visibilty",2,7
"631","Weekday","Evening","No Control","Other","Daylight","Poor Visibilty",5,9
"632","Weekend","Evening","No Control","Other","Daylight","Poor Visibilty",2,0
"633","Weekday","Night","Control","Other","Daylight","Poor Visibilty",5,0
"634","Weekend","Night","Control","Other","Daylight","Poor Visibilty",2,0
"635","Weekday","Morning","Control","Other","Daylight","Poor Visibilty",5,7
"636","Weekend","Morning","Control","Other","Daylight","Poor Visibilty",2,1
"637","Weekday","Midday","Control","Other","Daylight","Poor Visibilty",5,12
"638","Weekend","Midday","Control","Other","Daylight","Poor Visibilty",2,4
"639","Weekday","Evening","Control","Other","Daylight","Poor Visibilty",5,8
"640","Weekend","Evening","Control","Other","Daylight","Poor Visibilty",2,4
"641","Weekday","Night","Unknown","Other","Daylight","Poor Visibilty",5,0
"642","Weekend","Night","Unknown","Other","Daylight","Poor Visibilty",2,0
"643","Weekday","Morning","Unknown","Other","Daylight","Poor Visibilty",5,0
"644","Weekend","Morning","Unknown","Other","Daylight","Poor Visibilty",2,0
"645","Weekday","Midday","Unknown","Other","Daylight","Poor Visibilty",5,3
"646","Weekend","Midday","Unknown","Other","Daylight","Poor Visibilty",2,0
"647","Weekday","Evening","Unknown","Other","Daylight","Poor Visibilty",5,3
"648","Weekend","Evening","Unknown","Other","Daylight","Poor Visibilty",2,0
"649","Weekday","Night","No Control","Dry","Dawn/Dusk","Poor Visibilty",5,2
"650","Weekend","Night","No Control","Dry","Dawn/Dusk","Poor Visibilty",2,2
"651","Weekday","Morning","No Control","Dry","Dawn/Dusk","Poor Visibilty",5,2
"652","Weekend","Morning","No Control","Dry","Dawn/Dusk","Poor Visibilty",2,1
"653","Weekday","Midday","No Control","Dry","Dawn/Dusk","Poor Visibilty",5,0
"654","Weekend","Midday","No Control","Dry","Dawn/Dusk","Poor Visibilty",2,0
"655","Weekday","Evening","No Control","Dry","Dawn/Dusk","Poor Visibilty",5,18
"656","Weekend","Evening","No Control","Dry","Dawn/Dusk","Poor Visibilty",2,2
"657","Weekday","Night","Control","Dry","Dawn/Dusk","Poor Visibilty",5,0
"658","Weekend","Night","Control","Dry","Dawn/Dusk","Poor Visibilty",2,4
"659","Weekday","Morning","Control","Dry","Dawn/Dusk","Poor Visibilty",5,8
"660","Weekend","Morning","Control","Dry","Dawn/Dusk","Poor Visibilty",2,0
"661","Weekday","Midday","Control","Dry","Dawn/Dusk","Poor Visibilty",5,1
"662","Weekend","Midday","Control","Dry","Dawn/Dusk","Poor Visibilty",2,1
"663","Weekday","Evening","Control","Dry","Dawn/Dusk","Poor Visibilty",5,8
"664","Weekend","Evening","Control","Dry","Dawn/Dusk","Poor Visibilty",2,1
"665","Weekday","Night","Unknown","Dry","Dawn/Dusk","Poor Visibilty",5,0
"666","Weekend","Night","Unknown","Dry","Dawn/Dusk","Poor Visibilty",2,0
"667","Weekday","Morning","Unknown","Dry","Dawn/Dusk","Poor Visibilty",5,0
"668","Weekend","Morning","Unknown","Dry","Dawn/Dusk","Poor Visibilty",2,0
"669","Weekday","Midday","Unknown","Dry","Dawn/Dusk","Poor Visibilty",5,1
"670","Weekend","Midday","Unknown","Dry","Dawn/Dusk","Poor Visibilty",2,0
"671","Weekday","Evening","Unknown","Dry","Dawn/Dusk","Poor Visibilty",5,0
"672","Weekend","Evening","Unknown","Dry","Dawn/Dusk","Poor Visibilty",2,0
"673","Weekday","Night","No Control","Wet","Dawn/Dusk","Poor Visibilty",5,1
"674","Weekend","Night","No Control","Wet","Dawn/Dusk","Poor Visibilty",2,0
"675","Weekday","Morning","No Control","Wet","Dawn/Dusk","Poor Visibilty",5,5
"676","Weekend","Morning","No Control","Wet","Dawn/Dusk","Poor Visibilty",2,0
"677","Weekday","Midday","No Control","Wet","Dawn/Dusk","Poor Visibilty",5,0
"678","Weekend","Midday","No Control","Wet","Dawn/Dusk","Poor Visibilty",2,1
"679","Weekday","Evening","No Control","Wet","Dawn/Dusk","Poor Visibilty",5,7
"680","Weekend","Evening","No Control","Wet","Dawn/Dusk","Poor Visibilty",2,0
"681","Weekday","Night","Control","Wet","Dawn/Dusk","Poor Visibilty",5,0
"682","Weekend","Night","Control","Wet","Dawn/Dusk","Poor Visibilty",2,1
"683","Weekday","Morning","Control","Wet","Dawn/Dusk","Poor Visibilty",5,6
"684","Weekend","Morning","Control","Wet","Dawn/Dusk","Poor Visibilty",2,0
"685","Weekday","Midday","Control","Wet","Dawn/Dusk","Poor Visibilty",5,3
"686","Weekend","Midday","Control","Wet","Dawn/Dusk","Poor Visibilty",2,0
"687","Weekday","Evening","Control","Wet","Dawn/Dusk","Poor Visibilty",5,2
"688","Weekend","Evening","Control","Wet","Dawn/Dusk","Poor Visibilty",2,3
"689","Weekday","Night","Unknown","Wet","Dawn/Dusk","Poor Visibilty",5,0
"690","Weekend","Night","Unknown","Wet","Dawn/Dusk","Poor Visibilty",2,0
"691","Weekday","Morning","Unknown","Wet","Dawn/Dusk","Poor Visibilty",5,0
"692","Weekend","Morning","Unknown","Wet","Dawn/Dusk","Poor Visibilty",2,0
"693","Weekday","Midday","Unknown","Wet","Dawn/Dusk","Poor Visibilty",5,0
"694","Weekend","Midday","Unknown","Wet","Dawn/Dusk","Poor Visibilty",2,0
"695","Weekday","Evening","Unknown","Wet","Dawn/Dusk","Poor Visibilty",5,0
"696","Weekend","Evening","Unknown","Wet","Dawn/Dusk","Poor Visibilty",2,0
"697","Weekday","Night","No Control","Other","Dawn/Dusk","Poor Visibilty",5,1
"698","Weekend","Night","No Control","Other","Dawn/Dusk","Poor Visibilty",2,0
"699","Weekday","Morning","No Control","Other","Dawn/Dusk","Poor Visibilty",5,2
"700","Weekend","Morning","No Control","Other","Dawn/Dusk","Poor Visibilty",2,0
"701","Weekday","Midday","No Control","Other","Dawn/Dusk","Poor Visibilty",5,0
"702","Weekend","Midday","No Control","Other","Dawn/Dusk","Poor Visibilty",2,0
"703","Weekday","Evening","No Control","Other","Dawn/Dusk","Poor Visibilty",5,1
"704","Weekend","Evening","No Control","Other","Dawn/Dusk","Poor Visibilty",2,2
"705","Weekday","Night","Control","Other","Dawn/Dusk","Poor Visibilty",5,0
"706","Weekend","Night","Control","Other","Dawn/Dusk","Poor Visibilty",2,1
"707","Weekday","Morning","Control","Other","Dawn/Dusk","Poor Visibilty",5,1
"708","Weekend","Morning","Control","Other","Dawn/Dusk","Poor Visibilty",2,0
"709","Weekday","Midday","Control","Other","Dawn/Dusk","Poor Visibilty",5,0
"710","Weekend","Midday","Control","Other","Dawn/Dusk","Poor Visibilty",2,0
"711","Weekday","Evening","Control","Other","Dawn/Dusk","Poor Visibilty",5,3
"712","Weekend","Evening","Control","Other","Dawn/Dusk","Poor Visibilty",2,1
"713","Weekday","Night","Unknown","Other","Dawn/Dusk","Poor Visibilty",5,0
"714","Weekend","Night","Unknown","Other","Dawn/Dusk","Poor Visibilty",2,0
"715","Weekday","Morning","Unknown","Other","Dawn/Dusk","Poor Visibilty",5,0
"716","Weekend","Morning","Unknown","Other","Dawn/Dusk","Poor Visibilty",2,0
"717","Weekday","Midday","Unknown","Other","Dawn/Dusk","Poor Visibilty",5,0
"718","Weekend","Midday","Unknown","Other","Dawn/Dusk","Poor Visibilty",2,0
"719","Weekday","Evening","Unknown","Other","Dawn/Dusk","Poor Visibilty",5,0
"720","Weekend","Evening","Unknown","Other","Dawn/Dusk","Poor Visibilty",2,0
"721","Weekday","Night","No Control","Dry","Dark","Poor Visibilty",5,30
"722","Weekend","Night","No Control","Dry","Dark","Poor Visibilty",2,24
"723","Weekday","Morning","No Control","Dry","Dark","Poor Visibilty",5,2
"724","Weekend","Morning","No Control","Dry","Dark","Poor Visibilty",2,1
"725","Weekday","Midday","No Control","Dry","Dark","Poor Visibilty",5,1
"726","Weekend","Midday","No Control","Dry","Dark","Poor Visibilty",2,0
"727","Weekday","Evening","No Control","Dry","Dark","Poor Visibilty",5,28
"728","Weekend","Evening","No Control","Dry","Dark","Poor Visibilty",2,10
"729","Weekday","Night","Control","Dry","Dark","Poor Visibilty",5,19
"730","Weekend","Night","Control","Dry","Dark","Poor Visibilty",2,16
"731","Weekday","Morning","Control","Dry","Dark","Poor Visibilty",5,2
"732","Weekend","Morning","Control","Dry","Dark","Poor Visibilty",2,0
"733","Weekday","Midday","Control","Dry","Dark","Poor Visibilty",5,2
"734","Weekend","Midday","Control","Dry","Dark","Poor Visibilty",2,0
"735","Weekday","Evening","Control","Dry","Dark","Poor Visibilty",5,13
"736","Weekend","Evening","Control","Dry","Dark","Poor Visibilty",2,6
"737","Weekday","Night","Unknown","Dry","Dark","Poor Visibilty",5,2
"738","Weekend","Night","Unknown","Dry","Dark","Poor Visibilty",2,2
"739","Weekday","Morning","Unknown","Dry","Dark","Poor Visibilty",5,0
"740","Weekend","Morning","Unknown","Dry","Dark","Poor Visibilty",2,0
"741","Weekday","Midday","Unknown","Dry","Dark","Poor Visibilty",5,0
"742","Weekend","Midday","Unknown","Dry","Dark","Poor Visibilty",2,0
"743","Weekday","Evening","Unknown","Dry","Dark","Poor Visibilty",5,0
"744","Weekend","Evening","Unknown","Dry","Dark","Poor Visibilty",2,1
"745","Weekday","Night","No Control","Wet","Dark","Poor Visibilty",5,29
"746","Weekend","Night","No Control","Wet","Dark","Poor Visibilty",2,29
"747","Weekday","Morning","No Control","Wet","Dark","Poor Visibilty",5,4
"748","Weekend","Morning","No Control","Wet","Dark","Poor Visibilty",2,2
"749","Weekday","Midday","No Control","Wet","Dark","Poor Visibilty",5,0
"750","Weekend","Midday","No Control","Wet","Dark","Poor Visibilty",2,0
"751","Weekday","Evening","No Control","Wet","Dark","Poor Visibilty",5,19
"752","Weekend","Evening","No Control","Wet","Dark","Poor Visibilty",2,8
"753","Weekday","Night","Control","Wet","Dark","Poor Visibilty",5,24
"754","Weekend","Night","Control","Wet","Dark","Poor Visibilty",2,15
"755","Weekday","Morning","Control","Wet","Dark","Poor Visibilty",5,4
"756","Weekend","Morning","Control","Wet","Dark","Poor Visibilty",2,0
"757","Weekday","Midday","Control","Wet","Dark","Poor Visibilty",5,3
"758","Weekend","Midday","Control","Wet","Dark","Poor Visibilty",2,1
"759","Weekday","Evening","Control","Wet","Dark","Poor Visibilty",5,18
"760","Weekend","Evening","Control","Wet","Dark","Poor Visibilty",2,9
"761","Weekday","Night","Unknown","Wet","Dark","Poor Visibilty",5,1
"762","Weekend","Night","Unknown","Wet","Dark","Poor Visibilty",2,3
