"","Day","Time","TrafficControl","Road","Light","Weather","Weight","Count"
"84","Weekend","Morning","Control","Dry","Dawn/Dusk","Clear",2,25
"85","Weekday","Midday","Control","Dry","Dawn/Dusk","Clear",5,16
"86","Weekend","Midday","Control","Dry","Dawn/Dusk","Clear",2,6
"87","Weekday","Evening","Control","Dry","Dawn/Dusk","Clear",5,405
"88","Weekend","Evening","Control","Dry","Dawn/Dusk","Clear",2,141
"89","Weekday","Night","Unknown","Dry","Dawn/Dusk","Clear",5,5
"90","Weekend","Night","Unknown","Dry","Dawn/Dusk","Clear",2,7
"91","Weekday","Morning","Unknown","Dry","Dawn/Dusk","Clear",5,2
"92","Weekend","Morning","Unknown","Dry","Dawn/Dusk","Clear",2,3
"93","Weekday","Midday","Unknown","Dry","Dawn/Dusk","Clear",5,1
"94","Weekend","Midday","Unknown","Dry","Dawn/Dusk","Clear",2,1
"95","Weekday","Evening","Unknown","Dry","Dawn/Dusk","Clear",5,26
"96","Weekend","Evening","Unknown","Dry","Dawn/Dusk","Clear",2,3
"97","Weekday","Night","No Control","Wet","Dawn/Dusk","Clear",5,14
"98","Weekend","Night","No Control","Wet","Dawn/Dusk","Clear",2,6
"99","Weekday","Morning","No Control","Wet","Dawn/Dusk","Clear",5,22
"100","Weekend","Morning","No Control","Wet","Dawn/Dusk","Clear",2,7
"101","Weekday","Midday","No Control","Wet","Dawn/Dusk","Clear",5,2
"102","Weekend","Midday","No Control","Wet","Dawn/Dusk","Clear",2,3
"103","Weekday","Evening","No Control","Wet","Dawn/Dusk","Clear",5,58
"104","Weekend","Evening","No Control","Wet","Dawn/Dusk","Clear",2,12
"105","Weekday","Night","Control","Wet","Dawn/Dusk","Clear",5,12
"106","Weekend","Night","Control","Wet","Dawn/Dusk","Clear",2,7
"107","Weekday","Morning","Control","Wet","Dawn/Dusk","Clear",5,21
"108","Weekend","Morning","Control","Wet","Dawn/Dusk","Clear",2,8
"109","Weekday","Midday","Control","Wet","Dawn/Dusk","Clear",5,2
"110","Weekend","Midday","Control","Wet","Dawn/Dusk","Clear",2,0
"111","Weekday","Evening","Control","Wet","Dawn/Dusk","Clear",5,46
"112","Weekend","Evening","Control","Wet","Dawn/Dusk","Clear",2,9
"113","Weekday","Night","Unknown","Wet","Dawn/Dusk","Clear",5,0
"114","Weekend","Night","Unknown","Wet","Dawn/Dusk","Clear",2,0
"115","Weekday","Morning","Unknown","Wet","Dawn/Dusk","Clear",5,0
"116","Weekend","Morning","Unknown","Wet","Dawn/Dusk","Clear",2,0
"117","Weekday","Midday","Unknown","Wet","Dawn/Dusk","Clear",5,0
"118","Weekend","Midday","Unknown","Wet","Dawn/Dusk","Clear",2,0
"119","Weekday","Evening","Unknown","Wet","Dawn/Dusk","Clear",5,2
"120","Weekend","Evening","Unknown","Wet","Dawn/Dusk","Clear",2,1
"121","Weekday","Night","No Control","Other","Dawn/Dusk","Clear",5,1
"122","Weekend","Night","No Control","Other","Dawn/Dusk","Clear",2,3
"123","Weekday","Morning","No Control","Other","Dawn/Dusk","Clear",5,6
"124","Weekend","Morning","No Control","Other","Dawn/Dusk","Clear",2,4
"125","Weekday","Midday","No Control","Other","Dawn/Dusk","Clear",5,2
"126","Weekend","Midday","No Control","Other","Dawn/Dusk","Clear",2,0
"127","Weekday","Evening","No Control","Other","Dawn/Dusk","Clear",5,19
"128","Weekend","Evening","No Control","Other","Dawn/Dusk","Clear",2,8
"129","Weekday","Night","Control","Other","Dawn/Dusk","Clear",5,5
"130","Weekend","Night","Control","Other","Dawn/Dusk","Clear",2,2
"131","Weekday","Morning","Control","Other","Dawn/Dusk","Clear",5,2
"132","Weekend","Morning","Control","Other","Dawn/Dusk","Clear",2,1
"133","Weekday","Midday","Control","Other","Dawn/Dusk","Clear",5,2
"134","Weekend","Midday","Control","Other","Dawn/Dusk","Clear",2,0
"135","Weekday","Evening","Control","Other","Dawn/Dusk","Clear",5,16
"136","Weekend","Evening","Control","Other","Dawn/Dusk","Clear",2,4
"137","Weekday","Night","Unknown","Other","Dawn/Dusk","Clear",5,0
"138","Weekend","Night","Unknown","Other","Dawn/Dusk","Clear",2,1
"139","Weekday","Morning","Unknown","Other","Dawn/Dusk","Clear",5,0
"140","Weekend","Morning","Unknown","Other","Dawn/Dusk","Clear",2,0
"141","Weekday","Midday","Unknown","Other","Dawn/Dusk","Clear",5,0
"142","Weekend","Midday","Unknown","Other","Dawn/Dusk","Clear",2,0
"143","Weekday","Evening","Unknown","Other","Dawn/Dusk","Clear",5,3
"144","Weekend","Evening","Unknown","Other","Dawn/Dusk","Clear",2,1
"145","Weekday","Night","No Control","Dry","Dark","Clear",5,2473
"146","Weekend","Night","No Control","Dry","Dark","Clear",2,2199
"147","Weekday","Morning","No Control","Dry","Dark","Clear",5,183
"148","Weekend","Morning","No Control","Dry","Dark","Clear",2,102
"149","Weekday","Midday","No Control","Dry","Dark","Clear",5,99
"150","Weekend","Midday","No Control","Dry","Dark","Clear",2,98
"151","Weekday","Evening","No Control","Dry","Dark","Clear",5,1619
"152","Weekend","Evening","No Control","Dry","Dark","Clear",2,606
"153","Weekday","Night","Control","Dry","Dark","Clear",5,2375
"154","Weekend","Night","Control","Dry","Dark","Clear",2,2026
"155","Weekday","Morning","Control","Dry","Dark","Clear",5,154
"156","Weekend","Morning","Control","Dry","Dark","Clear",2,42
"157","Weekday","Midday","Control","Dry","Dark","Clear",5,76
"158","Weekend","Midday","Control","Dry","Dark","Clear",2,41
"159","Weekday","Evening","Control","Dry","Dark","Clear",5,1887
